age,workclass,education_num,marital_status,occupation,relationship,race,gender,capital_gain,capital_loss,hours_per_week,native_country,income_per_anum
61, Private,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,20, United-States,0
25, Private,10, Never-married, Sales, Not-in-family, White, Male,0,0,35, United-States,0
35, Private,10, Married-civ-spouse, Craft-repair, Husband, White, Male,5013,0,40, United-States,0
22, Private,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,40, United-States,0
37, Private,10, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,30, United-States,0
36, Private,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,55, United-States,0
24, Private,10, Divorced, Other-service, Not-in-family, Black, Male,0,0,40, United-States,0
52, Private,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0
68, Private,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,2377,35, United-States,1
46, Private,10, Separated, Sales, Not-in-family, White, Male,0,0,55, United-States,0
59, Private,4, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Puerto-Rico,0
29, Private,9, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States,0
32, Private,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0
63, Private,7, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
36, Private,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,7298,0,40, United-States,1
49, Private,11, Married-spouse-absent, Prof-specialty, Unmarried, White, Female,0,0,40, United-States,0
36, Private,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States,1
28, Private,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, France,1
22, Self-emp-not-inc,9, Never-married, Other-service, Own-child, White, Male,0,0,40, Greece,0
37, Private,14, Never-married, Prof-specialty, Unmarried, Asian-Pac-Islander, Male,0,0,40, South,0
88, Self-emp-not-inc,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0
48, Private,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
40, Federal-gov,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
50, Self-emp-not-inc,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,35, United-States,0
30, Private,15, Widowed, Other-service, Not-in-family, White, Male,0,0,35, United-States,0
90, Private,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,10, United-States,0
27, Private,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
62, Self-emp-not-inc,4, Widowed, Other-service, Not-in-family, White, Female,0,0,66, United-States,0
64, Private,7, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0
42, Local-gov,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,60, United-States,1
46, Private,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,54, United-States,0
23, Private,9, Never-married, Sales, Other-relative, Black, Female,0,0,25, Jamaica,0
34, Self-emp-inc,12, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,36, United-States,0
36, Local-gov,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,1
36, Private,12, Never-married, Tech-support, Not-in-family, Black, Male,14344,0,40, England,1
38, Private,10, Divorced, Sales, Unmarried, Black, Female,0,0,40, United-States,0
40, Private,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,8, United-States,0
54, Private,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,1
24, State-gov,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,0
22, Private,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States,0
49, Private,9, Divorced, Craft-repair, Not-in-family, White, Male,0,1876,40, United-States,0
49, Private,9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,0,0,40, United-States,0
41, Private,9, Divorced, Sales, Unmarried, Black, Female,0,0,40, United-States,0
32, Local-gov,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
66, Private,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,1
73, Private,9, Widowed, Other-service, Other-relative, White, Female,0,0,12, United-States,0
28, Self-emp-not-inc,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,55, United-States,0
31, Private,4, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,30, Portugal,0
69, Private,7, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,48, United-States,0
43, Private,11, Separated, Sales, Unmarried, White, Female,0,0,45, United-States,0
29, Private,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,45, United-States,0
34, Private,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,28, United-States,0
47, Self-emp-not-inc,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States,1
37, Local-gov,11, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,1
29, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0
30, Private,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,60, United-States,1
23, Local-gov,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States,0
52, State-gov,9, Married-civ-spouse, Craft-repair, Husband, White, Male,5013,0,40, United-States,0
20, Private,11, Never-married, Farming-fishing, Own-child, White, Male,0,0,40, United-States,0
37, Local-gov,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1887,40, United-States,1
21, Private,10, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States,0
36, Local-gov,11, Never-married, Protective-serv, Not-in-family, Black, Female,0,0,60, United-States,1
29, Private,9, Divorced, Sales, Unmarried, White, Female,0,0,32, United-States,0
26, Self-emp-inc,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
58, State-gov,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,16, United-States,0
24, Private,9, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States,0
26, Private,10, Never-married, Craft-repair, Unmarried, Asian-Pac-Islander, Male,0,0,37, Taiwan,0
44, Private,9, Divorced, Craft-repair, Not-in-family, White, Female,14344,0,40, United-States,1
21, Private,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,3325,0,60, United-States,0
27, Self-emp-not-inc,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,0
36, Private,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,0
51, Private,10, Widowed, Prof-specialty, Not-in-family, White, Female,3325,0,40, United-States,0
17, Private,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,30, United-States,0
25, Private,12, Never-married, Sales, Own-child, White, Female,0,0,40, Peru,0
62, Private,10, Widowed, Priv-house-serv, Unmarried, White, Female,0,0,40, United-States,0
25, Private,9, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,40, United-States,0
21, Private,7, Never-married, Adm-clerical, Other-relative, White, Female,0,0,40, United-States,0
39, Private,8, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0
37, Private,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Japan,0
24, Private,9, Married-civ-spouse, Transport-moving, Own-child, White, Female,0,0,40, United-States,0
45, Private,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
64, Local-gov,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,99, United-States,0
45, Private,6, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States,0
33, Private,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,48, United-States,0
35, Private,12, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States,0
24, State-gov,13, Never-married, Tech-support, Not-in-family, White, Female,0,0,40, United-States,0
61, Private,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,44, United-States,1
40, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1
36, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5013,0,50, United-States,0
23, Private,10, Never-married, Other-service, Own-child, White, Female,0,0,40, Dominican-Republic,0
26, State-gov,10, Never-married, Other-service, Not-in-family, White, Male,0,0,20, United-States,0
41, Private,14, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0
54, Private,9, Married-civ-spouse, Sales, Husband, White, Male,0,1672,50, United-States,0
33, Local-gov,13, Never-married, Adm-clerical, Not-in-family, White, Female,1055,0,40, United-States,0
63, Private,2, Widowed, Machine-op-inspct, Unmarried, White, Female,0,0,44, Portugal,0
40, Private,9, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States,0
55, Private,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States,0
18, Private,7, Never-married, Adm-clerical, Own-child, White, Female,0,0,15, United-States,0
34, Private,9, Divorced, Exec-managerial, Own-child, White, Male,0,0,44, United-States,0
55, Private,9, Separated, Protective-serv, Not-in-family, White, Male,0,0,81, United-States,0
52, Self-emp-inc,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,60, United-States,1
30, Private,9, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,0,0,40, Vietnam,1
41, Private,9, Divorced, Craft-repair, Unmarried, White, Female,0,0,60, United-States,0
29, Private,9, Separated, Other-service, Not-in-family, White, Female,0,0,40, United-States,0
45, Private,13, Married-civ-spouse, Craft-repair, Husband, White, Male,15024,0,40, United-States,1
31, Private,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,0
30, Private,10, Never-married, Other-service, Own-child, Black, Female,0,0,40, United-States,0
42, Local-gov,9, Separated, Other-service, Not-in-family, Black, Female,0,0,60, United-States,0
35, Private,6, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,0
61, Private,10, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States,0
31, Private,9, Never-married, Exec-managerial, Own-child, White, Male,0,0,40, United-States,0
49, Self-emp-not-inc,13, Widowed, Sales, Unmarried, White, Female,0,0,40, United-States,0
79, Self-emp-not-inc,9, Widowed, Other-service, Not-in-family, White, Female,0,0,24, United-States,0
50, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,55, United-States,1
20, Private,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States,0
44, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,0
46, Private,7, Never-married, Transport-moving, Own-child, White, Male,0,0,30, United-States,0
20, Private,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, Mexico,0
46, Private,11, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States,0
33, Local-gov,9, Divorced, Tech-support, Not-in-family, White, Female,0,0,55, United-States,0
37, Private,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,5178,0,40, United-States,1
29, Private,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,0
58, Private,9, Widowed, Sales, Not-in-family, White, Male,0,0,38, United-States,0
51, Local-gov,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
51, Private,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,4386,0,55, United-States,1
51, Federal-gov,14, Widowed, Sales, Unmarried, White, Male,0,0,50, El-Salvador,1
21, Private,10, Never-married, Prof-specialty, Own-child, White, Female,0,0,5, United-States,0
40, Self-emp-inc,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,1
22, Private,9, Married-civ-spouse, Transport-moving, Other-relative, White, Male,0,0,80, United-States,0
25, Private,13, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
55, Private,14, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander, Female,0,0,40, Thailand,0
38, Private,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,7298,0,50, United-States,1
26, Private,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
29, Private,10, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,0
27, Private,9, Never-married, Sales, Own-child, White, Male,0,0,40, United-States,0
44, Private,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,0
31, Private,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,6, South,0
41, Private,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States,0
41, Self-emp-not-inc,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,38, United-States,0
19, Private,10, Divorced, Other-service, Own-child, White, Female,0,0,40, United-States,0
33, Local-gov,12, Divorced, Protective-serv, Not-in-family, White, Male,0,0,56, United-States,0
35, Private,13, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines,1
47, Private,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,0
42, Private,10, Widowed, Sales, Unmarried, Black, Female,0,0,40, United-States,0
32, Local-gov,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,55, United-States,0
21, Private,10, Never-married, Sales, Own-child, Black, Female,0,0,20, United-States,0
50, Private,10, Divorced, Craft-repair, Not-in-family, Black, Female,0,0,45, United-States,0
45, Private,7, Widowed, Other-service, Unmarried, White, Female,0,0,40, United-States,0
23, Private,10, Never-married, Sales, Own-child, White, Female,0,0,20, United-States,0
60, State-gov,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
30, Self-emp-not-inc,11, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,0
57, Federal-gov,9, Never-married, Adm-clerical, Not-in-family, White, Male,0,2258,40, United-States,0
40, Self-emp-not-inc,13, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,30, United-States,0
33, Private,10, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female,0,0,35, United-States,0
24, Private,8, Never-married, Sales, Other-relative, White, Male,0,0,55, United-States,0
64, Private,13, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,30, United-States,0
36, Private,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,1
28, Private,9, Never-married, Other-service, Unmarried, White, Male,0,0,40, United-States,0
31, Private,5, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
28, Private,9, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States,0
34, Local-gov,14, Separated, Prof-specialty, Unmarried, White, Female,0,0,40, United-States,0
47, Self-emp-not-inc,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0
26, Private,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,70, United-States,0
23, Local-gov,9, Never-married, Transport-moving, Own-child, White, Male,0,0,40, United-States,0
31, State-gov,1, Never-married, Other-service, Not-in-family, White, Male,0,0,24, United-States,0
30, Private,9, Never-married, Other-service, Not-in-family, White, Male,0,0,40, Ireland,0
41, Private,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
41, Private,12, Divorced, Craft-repair, Own-child, White, Male,0,0,40, United-States,0
50, Self-emp-not-inc,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,7688,0,50, United-States,1
47, Private,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States,1
64, Private,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
55, Self-emp-not-inc,14, Married-civ-spouse, Sales, Husband, White, Male,2228,0,50, United-States,0
21, Private,9, Never-married, Handlers-cleaners, Not-in-family, White, Female,0,0,40, United-States,0
47, Self-emp-not-inc,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,30, United-States,0
59, Private,14, Never-married, Sales, Not-in-family, White, Female,27828,0,45, United-States,1
39, Private,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,1
33, Private,9, Divorced, Adm-clerical, Other-relative, White, Female,0,0,40, United-States,0
51, Self-emp-inc,9, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States,0
56, Local-gov,15, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines,1
44, Private,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,45, United-States,0
29, Private,9, Never-married, Craft-repair, Own-child, White, Male,0,0,45, United-States,0
45, Self-emp-inc,13, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander, Female,0,0,70, United-States,0
39, Private,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,0
32, Private,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1672,60, United-States,0
48, Private,13, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,0
47, Federal-gov,12, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States,1
25, Private,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States,0
50, Private,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,40, United-States,1
53, Private,10, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,45, United-States,1
57, Local-gov,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,0
56, Local-gov,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,1
29, Private,9, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Female,0,0,38, El-Salvador,0
29, Private,11, Married-civ-spouse, Tech-support, Husband, White, Male,0,2051,40, United-States,0
31, Private,9, Divorced, Craft-repair, Own-child, White, Male,0,1669,50, United-States,0
43, Local-gov,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
30, Private,9, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States,0
27, Federal-gov,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,0
37, Private,11, Married-civ-spouse, Tech-support, Wife, White, Female,0,0,24, United-States,1
42, Private,10, Never-married, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States,0
42, Self-emp-not-inc,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,40, United-States,0
38, Local-gov,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
29, Private,11, Divorced, Handlers-cleaners, Unmarried, White, Male,0,0,50, United-States,0
29, Private,9, Never-married, Farming-fishing, Own-child, Black, Male,0,0,30, United-States,0
58, Local-gov,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,58, United-States,0
59, Private,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,1
21, State-gov,10, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States,0
52, Self-emp-not-inc,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,65, United-States,0
32, Private,10, Married-civ-spouse, Other-service, Husband, Black, Male,0,0,50, United-States,0
56, Private,9, Divorced, Prof-specialty, Not-in-family, White, Female,4101,0,40, United-States,0
65, Self-emp-inc,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,2352,65, United-States,0
23, Private,10, Never-married, Protective-serv, Own-child, Black, Female,0,0,40, United-States,0
40, Federal-gov,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,0
27, Private,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States,0
41, Private,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,45, United-States,0
40, Private,8, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, United-States,0
50, Private,13, Married-civ-spouse, Transport-moving, Husband, White, Male,7298,0,40, United-States,1
25, Private,13, Never-married, Other-service, Own-child, White, Male,0,0,18, United-States,0
54, Private,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, United-States,0
46, Private,13, Never-married, Sales, Not-in-family, White, Female,0,0,35, United-States,0
26, Private,10, Never-married, Handlers-cleaners, Other-relative, Asian-Pac-Islander, Male,0,0,44, Philippines,0
45, Private,13, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,0
28, Private,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,0
21, Private,10, Never-married, Sales, Own-child, White, Female,0,0,15, United-States,0
38, Private,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,2042,40, United-States,0
28, Private,10, Never-married, Sales, Not-in-family, Other, Male,0,0,40, India,0
37, Private,9, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States,0
47, Self-emp-inc,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States,0
48, Private,3, Divorced, Machine-op-inspct, Unmarried, Other, Female,0,0,40, Dominican-Republic,0
47, Private,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,0
41, Private,9, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,1
43, Local-gov,10, Married-civ-spouse, Protective-serv, Husband, White, Male,0,1887,40, United-States,1
63, Private,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
18, Private,10, Never-married, Sales, Own-child, White, Female,2176,0,35, United-States,0
23, Private,6, Never-married, Handlers-cleaners, Unmarried, White, Male,0,0,50, United-States,0
27, Private,10, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,15, United-States,0
63, Private,3, Widowed, Other-service, Other-relative, Asian-Pac-Islander, Female,0,0,19, Philippines,0
23, Private,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,3942,0,40, United-States,0
23, Private,9, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,0
62, Private,6, Married-civ-spouse, Sales, Husband, White, Male,0,0,35, United-States,0
19, State-gov,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,25, United-States,0
33, Private,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States,1
34, Private,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States,0
26, Private,11, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States,0
42, Federal-gov,12, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,0
